source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,fallback_selected,source_attacks,feature_name
Attack_39,PIT501,247.3725,247.8371,0.94375,0.030426398114420397,0.9133236018855796,False,Attack_39,PIT501_ATTACK_RANGE_001
Attack_32,PIT501,250.4807,250.9773,0.9166666666666666,0.04056380460512159,0.8761028620615451,False,Attack_32,PIT501_ATTACK_RANGE_002
Attack_1,PIT501,249.8718,250.5768,0.9414893617021277,0.08389334489486235,0.8575960168072654,False,Attack_1,PIT501_ATTACK_RANGE_003
Attack_36,PIT501,247.9332,248.5901,0.9444444444444444,0.09144637868042123,0.8529980657640232,False,Attack_36,PIT501_ATTACK_RANGE_004
Attack_17,PIT501,251.2337,252.0828,0.9162303664921466,0.06649947415257665,0.84973089233957,False,Attack_17,PIT501_ATTACK_RANGE_005
Attack_8,PIT501,246.6996,248.1735,0.914396887159533,0.08718991459943067,0.8272069725601023,False,Attack_8,PIT501_ATTACK_RANGE_006
Attack_22,PIT502,0.0,0.0,0.9783783783783784,0.04626401330258006,0.9321143650757984,False,"Attack_11,Attack_22",PIT502_ATTACK_RANGE_000
Attack_28,PIT502,0.0,0.7721141799999989,0.9497964721845319,0.04306725534277743,0.9067292168417544,False,Attack_28,PIT502_ATTACK_RANGE_001
Attack_23,PIT502,0.7689104,0.8233747999999979,0.9138240574506283,0.06428744710100003,0.8495366103496284,False,Attack_23,PIT502_ATTACK_RANGE_002
Attack_26,PIT503,183.8952,184.7122,0.9307958477508651,0.0073972602739726025,0.9233985874768925,False,Attack_26,PIT503_ATTACK_RANGE_000
Attack_39,PIT503,185.5774,185.978,0.94375,0.036479537175916,0.907270462824084,False,Attack_39,PIT503_ATTACK_RANGE_001
Attack_24,PIT503,190.3679,190.8805,0.93359375,0.03729946524064171,0.8962942847593582,False,Attack_24,PIT503_ATTACK_RANGE_002
Attack_40,PIT503,134.5969,185.6896,0.9451476793248945,0.10131216761538256,0.843835511709512,False,Attack_40,PIT503_ATTACK_RANGE_003
