source_attack,sensor,low,high,target_coverage,other_coverage,specificity_score,attack_train_samples,fallback_selected,source_attacks,feature_name
Attack_32,AIT501,7.794027,7.798513,0.972972972972973,0.09391210858755544,0.8790608643854176,481,False,Attack_32,AIT501_ATTACK_RANGE_020
Attack_2,AIT501,7.872533,7.878621,0.9549295774647887,0.07971926816854624,0.8752103092962424,355,False,Attack_2,AIT501_ATTACK_RANGE_021
Attack_7,AIT501,7.866589149999999,7.8712029999999995,0.8953488372093024,0.024181886347812116,0.8711669508614902,344,False,Attack_7,AIT501_ATTACK_RANGE_022
Attack_33,AIT501,7.790503,7.798513,0.9859550561797753,0.11877846236271096,0.8671765938170644,356,False,Attack_33,AIT501_ATTACK_RANGE_023
Attack_41,AIT501,7.749808,7.761023,0.9470149253731344,0.08314532548285919,0.8638695998902752,1340,False,Attack_41,AIT501_ATTACK_RANGE_024
Attack_37,AIT501,7.682518,7.771918,0.9574468085106383,0.18172071830608416,0.7757260902045542,376,False,Attack_37,AIT501_ATTACK_RANGE_025
Attack_25,AIT502,139.5796,141.0408,1.0,0.041563608990214,0.958436391009786,490,False,Attack_25,AIT502_ATTACK_RANGE_000
Attack_21,AIT502,146.0395,146.5009,0.9722703639514731,0.017947128728879786,0.9543232352225933,577,False,Attack_21,AIT502_ATTACK_RANGE_001
Attack_22,AIT502,150.0,150.0,0.954177897574124,0.000509178614498191,0.9536687189596258,371,False,Attack_22,AIT502_ATTACK_RANGE_002
Attack_31,AIT502,139.5796,140.041,0.9625850340136054,0.014655541292255029,0.9479294927213504,294,False,Attack_31,AIT502_ATTACK_RANGE_003
Attack_27,AIT502,141.938,142.6557,0.9733924611973392,0.0408444114166185,0.9325480497807207,1353,False,Attack_27,AIT502_ATTACK_RANGE_004
Attack_34,AIT502,136.888,137.093,0.9506172839506173,0.028054779949474803,0.9225625040011425,81,False,Attack_34,AIT502_ATTACK_RANGE_005
Attack_35,AIT502,136.5035,137.0418,0.9558441558441558,0.03359159271869387,0.922252563125462,385,False,Attack_35,AIT502_ATTACK_RANGE_006
Attack_29,AIT502,138.1697,138.6824,1.0,0.08098113809891191,0.9190188619010881,97,False,Attack_29,AIT502_ATTACK_RANGE_007
Attack_20,AIT502,145.719075,146.1164,0.9335443037974683,0.03385068236553385,0.8996936214319344,316,False,Attack_20,AIT502_ATTACK_RANGE_008
Attack_16,AIT502,142.9377,143.5017,0.9683257918552036,0.07262778593353797,0.8956980059216657,221,False,Attack_16,AIT502_ATTACK_RANGE_009
Attack_13,AIT502,143.3735,143.8349,0.9518716577540107,0.06688178351422705,0.8849898742397837,187,False,Attack_13,AIT502_ATTACK_RANGE_010
Attack_36,AIT502,137.3238,137.9134,0.9166666666666666,0.033795028721748,0.8828716379449186,432,False,Attack_36,AIT502_ATTACK_RANGE_011
Attack_19,AIT502,145.6806,146.2702,0.9326923076923077,0.05384492235444794,0.8788473853378598,208,False,Attack_19,AIT502_ATTACK_RANGE_012
Attack_2,AIT502,144.0144,144.8603,0.9915492957746479,0.1263561115426857,0.8651931842319622,355,False,Attack_2,AIT502_ATTACK_RANGE_013
Attack_41,AIT502,138.1697,138.9387,0.926865671641791,0.09692951081274417,0.8299361608290469,1340,False,Attack_41,AIT502_ATTACK_RANGE_014
Attack_25,AIT503,271.3407,271.4368,0.9816326530612245,0.008226691042047532,0.973405962019177,490,False,Attack_25,AIT503_ATTACK_RANGE_000
Attack_10,AIT503,270.2192,270.9562,1.0,0.029580914851696043,0.970419085148304,128,False,Attack_10,AIT503_ATTACK_RANGE_001
Attack_19,AIT503,254.5181,254.7744,0.9759615384615384,0.008831848017503603,0.9671296904440349,208,False,Attack_19,AIT503_ATTACK_RANGE_002
Attack_3,AIT503,263.7465,263.9708,0.9739413680781759,0.017282431311699084,0.9566589367664768,307,False,Attack_3,AIT503_ATTACK_RANGE_003
Attack_23,AIT503,269.9949,270.4114,0.9605734767025089,0.012928248222365869,0.9476452284801431,558,False,Attack_23,AIT503_ATTACK_RANGE_004
Attack_38,AIT503,260.7665,260.9267,0.9511111111111111,0.023677958410079816,0.9274331527010313,225,False,Attack_38,AIT503_ATTACK_RANGE_005
Attack_17,AIT503,260.2538,260.5742,0.9372822299651568,0.012826040094848027,0.9244561898703088,574,False,Attack_17,AIT503_ATTACK_RANGE_006
Attack_4,AIT503,262.2404,262.657,0.9391025641025641,0.016027184673837427,0.9230753794287266,312,False,Attack_4,AIT503_ATTACK_RANGE_007
Attack_40,AIT503,245.36657,248.9105,0.9201680672268907,0.004219183935056612,0.9159488832918341,238,False,Attack_40,AIT503_ATTACK_RANGE_008
Attack_39,AIT503,244.9052,249.4553,0.9221183800623053,0.007814799946473973,0.9143035801158313,321,False,Attack_39,AIT503_ATTACK_RANGE_009
Attack_6,AIT503,261.67006,262.0161,0.9490445859872612,0.034879693037384425,0.9141648929498767,157,False,Attack_6,AIT503_ATTACK_RANGE_010
Attack_16,AIT503,260.7344,261.0869,0.9411764705882353,0.03715467769918591,0.9040217928890494,221,False,Attack_16,AIT503_ATTACK_RANGE_011
Attack_1,AIT503,261.3432,262.3686,0.9521276595744681,0.08163210050360102,0.8704955590708671,752,False,Attack_1,AIT503_ATTACK_RANGE_012
Attack_34,AIT504,14.99615,15.18841,1.0,0.07137348756814253,0.9286265124318575,81,False,Attack_34,AIT504_ATTACK_RANGE_000
Attack_24,AIT504,13.95796,14.22712,0.9688715953307393,0.04998797723690187,0.9188836180938375,257,False,Attack_24,AIT504_ATTACK_RANGE_001
Attack_23,AIT504,13.65035,13.95796,0.9551971326164874,0.055995475113122174,0.8992016575033652,558,False,Attack_23,AIT504_ATTACK_RANGE_002
Attack_8,AIT504,12.53525,13.38118,0.9300518134715026,0.03416048111827491,0.8958913323532276,772,False,Attack_8,AIT504_ATTACK_RANGE_003
Attack_16,AIT504,11.65086,11.88157,0.9592760180995475,0.06536767649806487,0.8939083416014827,221,False,Attack_16,AIT504_ATTACK_RANGE_004
